cell,seed,status,wall_seconds
prior-conflict-gaussian,311517,executed,0.0918824999826029
prior-conflict-gaussian,311518,executed,0.09250549995340407
prior-conflict-gaussian,311519,executed,0.09424604097148404
prior-conflict-gaussian,311520,executed,0.11619433300802484
prior-conflict-gaussian,311521,executed,0.08911254198756069
prior-conflict-gaussian,311522,executed,0.08580325002549216
prior-conflict-gaussian,311523,executed,0.08692120900377631
prior-conflict-gaussian,311524,executed,0.08866720797959715
prior-conflict-gaussian,311525,executed,0.08577095804503188
prior-conflict-gaussian,311526,executed,0.08799391594948247
prior-conflict-gaussian,311527,executed,0.08711054199375212
prior-conflict-gaussian,311528,executed,0.09528120898175985
prior-conflict-gaussian,311529,executed,0.0933798750047572
prior-conflict-gaussian,311530,executed,0.08880162501009181
prior-conflict-gaussian,311531,executed,0.08724950003670529
prior-conflict-gaussian,311532,executed,0.08807158301351592
prior-conflict-gaussian,311533,executed,0.0863159170257859
prior-conflict-gaussian,311534,executed,0.08789945900207385
prior-conflict-gaussian,311535,executed,0.08949308400042355
prior-conflict-gaussian,311536,executed,0.09303566702874377
prior-conflict-gaussian,311537,executed,0.08734612498665228
prior-conflict-gaussian,311538,executed,0.08708604204002768
prior-conflict-gaussian,311539,executed,0.08617124997545034
prior-conflict-gaussian,311540,executed,0.09186837502056733
prior-conflict-gaussian,311541,executed,0.08793029200751334
prior-conflict-gaussian,311542,executed,0.08746437501395121
prior-conflict-gaussian,311543,executed,0.08819325000513345
prior-conflict-gaussian,311544,executed,0.09689045802224427
prior-conflict-gaussian,311545,executed,0.09810674999607727
prior-conflict-gaussian,311546,executed,0.09588308300590143
prior-conflict-gaussian,311547,executed,0.09487545897718519
prior-conflict-gaussian,311548,executed,0.09848404198419303
prior-conflict-gaussian,311549,executed,0.08966066595166922
prior-conflict-gaussian,311550,executed,0.0935101670329459
shared-boundary-heterogeneity,321501,executed,0.7124820409808308
shared-boundary-heterogeneity,321502,executed,0.7013089579995722
shared-boundary-heterogeneity,321503,executed,0.7448887500213459
shared-boundary-heterogeneity,321504,executed,0.7369313739473
shared-boundary-heterogeneity,321505,executed,0.7304590830462985
shared-boundary-heterogeneity,321506,executed,0.7191138329799287
shared-boundary-heterogeneity,321507,executed,0.71273645904148
shared-boundary-heterogeneity,321508,executed,0.718901333049871
shared-boundary-heterogeneity,321509,executed,0.702067541948054
shared-boundary-heterogeneity,321510,executed,0.7293916670023464
shared-boundary-heterogeneity,321511,executed,0.7094299999880604
shared-boundary-heterogeneity,321512,executed,0.7462596670375206
shared-boundary-heterogeneity,321513,executed,0.6946108330739662
shared-boundary-heterogeneity,321514,executed,0.7223127079778351
shared-boundary-heterogeneity,321515,executed,0.7369910010602325
shared-boundary-heterogeneity,321516,executed,0.722713416966144
shared-boundary-heterogeneity,321517,executed,0.7064400829840451
shared-boundary-heterogeneity,321518,executed,0.7080647920374759
shared-boundary-heterogeneity,321519,executed,0.7175989169627428
shared-boundary-heterogeneity,321520,executed,0.7165117909898981
