cell,seed,data_hash,truth_hash,effective_config_hash
shared-boundary-heterogeneity,321518,True,True,True
shared-boundary-heterogeneity,321519,True,True,True
shared-boundary-heterogeneity,321520,True,True,True
shared-boundary-heterogeneity,321521,True,True,True
shared-boundary-heterogeneity,321522,True,True,True
shared-boundary-heterogeneity,321523,True,True,True
shared-boundary-heterogeneity,321524,True,True,True
shared-boundary-heterogeneity,321525,True,True,True
shared-boundary-heterogeneity,321526,True,True,True
shared-boundary-heterogeneity,321527,True,True,True
shared-boundary-heterogeneity,321528,True,True,True
shared-boundary-heterogeneity,321529,True,True,True
shared-boundary-heterogeneity,321530,True,True,True
shared-boundary-heterogeneity,321531,True,True,True
shared-boundary-heterogeneity,321532,True,True,True
shared-boundary-heterogeneity,321533,True,True,True
shared-boundary-heterogeneity,321534,True,True,True
shared-boundary-heterogeneity,321535,True,True,True
shared-boundary-heterogeneity,321536,True,True,True
shared-boundary-heterogeneity,321537,True,True,True
shared-boundary-heterogeneity,321538,True,True,True
shared-boundary-heterogeneity,321539,True,True,True
shared-boundary-heterogeneity,321540,True,True,True
shared-boundary-heterogeneity,321541,True,True,True
shared-boundary-heterogeneity,321542,True,True,True
shared-boundary-heterogeneity,321543,True,True,True
shared-boundary-heterogeneity,321544,True,True,True
shared-boundary-heterogeneity,321545,True,True,True
shared-boundary-heterogeneity,321546,True,True,True
shared-boundary-heterogeneity,321547,True,True,True
shared-boundary-heterogeneity,321548,True,True,True
shared-boundary-heterogeneity,321549,True,True,True
shared-boundary-heterogeneity,321550,True,True,True
logistic-approximation-failure,331501,True,True,True
logistic-approximation-failure,331502,True,True,True
logistic-approximation-failure,331503,True,True,True
logistic-approximation-failure,331504,True,True,True
logistic-approximation-failure,331505,True,True,True
logistic-approximation-failure,331506,True,True,True
logistic-approximation-failure,331507,True,True,True
logistic-approximation-failure,331508,True,True,True
logistic-approximation-failure,331509,True,True,True
logistic-approximation-failure,331510,True,True,True
logistic-approximation-failure,331511,True,True,True
logistic-approximation-failure,331512,True,True,True
logistic-approximation-failure,331513,True,True,True
logistic-approximation-failure,331514,True,True,True
logistic-approximation-failure,331515,True,True,True
logistic-approximation-failure,331516,True,True,True
logistic-approximation-failure,331517,True,True,True
logistic-approximation-failure,331518,True,True,True
logistic-approximation-failure,331519,True,True,True
logistic-approximation-failure,331520,True,True,True
logistic-approximation-failure,331521,True,True,True
logistic-approximation-failure,331522,True,True,True
logistic-approximation-failure,331523,True,True,True
logistic-approximation-failure,331524,True,True,True
logistic-approximation-failure,331525,True,True,True
logistic-approximation-failure,331526,True,True,True
logistic-approximation-failure,331527,True,True,True
logistic-approximation-failure,331528,True,True,True
logistic-approximation-failure,331529,True,True,True
logistic-approximation-failure,331530,True,True,True
logistic-approximation-failure,331531,True,True,True
logistic-approximation-failure,331532,True,True,True
logistic-approximation-failure,331533,True,True,True
logistic-approximation-failure,331534,True,True,True
logistic-approximation-failure,331535,True,True,True
logistic-approximation-failure,331536,True,True,True
logistic-approximation-failure,331537,True,True,True
logistic-approximation-failure,331538,True,True,True
logistic-approximation-failure,331539,True,True,True
logistic-approximation-failure,331540,True,True,True
logistic-approximation-failure,331541,True,True,True
logistic-approximation-failure,331542,True,True,True
logistic-approximation-failure,331543,True,True,True
logistic-approximation-failure,331544,True,True,True
logistic-approximation-failure,331545,True,True,True
logistic-approximation-failure,331546,True,True,True
logistic-approximation-failure,331547,True,True,True
logistic-approximation-failure,331548,True,True,True
logistic-approximation-failure,331549,True,True,True
logistic-approximation-failure,331550,True,True,True
