seed,method,status,wall_seconds,fit_wall_seconds,max_block_error,empirical_tv,truth_f1,map_jaccard
331532,ep,timed-out,20.727824834000785,20.0049849160132,,,,
331533,quadrature-40,executed,0.0748727080062963,,4.027387038980592,0.020875326422871904,1.0,1.0
331533,laplace,executed,0.028925375023391098,,6.920496268683628,0.03983080249386814,1.0,1.0
331533,ep,timed-out,20.93544104200555,20.00520850002067,,,,
331534,quadrature-40,executed,0.072507124976255,,4.027387038980606,0.01793803228556165,0.6666666666666666,1.0
331534,laplace,executed,0.029264416021760553,,6.920496268683628,0.0338688881167048,0.6666666666666666,1.0
331534,ep,timed-out,20.937531375035178,20.00448858400341,,,,
331535,quadrature-40,executed,0.07079091697232798,,3.6266393097304572,0.03277770932697727,1.0,1.0
331535,laplace,executed,0.029574000043794513,,5.230392489959122,0.027323764453946298,1.0,1.0
331535,ep,timed-out,20.720440291974228,20.00513258302817,,,,
331536,quadrature-40,executed,0.07395854196511209,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331536,laplace,executed,0.0295668329927139,,7.4507191480984005,0.037056133565134,1.0,1.0
331536,ep,timed-out,20.90632262500003,20.006704583007377,,,,
331537,quadrature-40,executed,0.0739497080212459,,3.175650374990596,0.027610736771946365,1.0,1.0
331537,laplace,executed,0.02878754201810807,,3.4933653260984343,0.008449675712776133,1.0,1.0
331537,ep,timed-out,20.94779591599945,20.005524999985937,,,,
331538,quadrature-40,executed,0.07376962504349649,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331538,laplace,executed,0.028668084007222205,,7.4507191480984005,0.037056133565134,1.0,1.0
331538,ep,timed-out,20.929381750000175,20.005702124966774,,,,
331539,quadrature-40,executed,0.07326199999079108,,3.6266393097304572,0.023031849048433917,1.0,1.0
331539,laplace,executed,0.02828491700347513,,5.230392489959122,0.030515640254798942,1.0,1.0
331539,ep,timed-out,20.929837749979924,20.006890124990605,,,,
331540,quadrature-40,executed,0.07356229197466746,,4.027387038980592,0.019348591921182545,1.0,1.0
331540,laplace,executed,0.02878437499748543,,6.920496268683621,0.041577025659898084,1.0,1.0
331540,ep,timed-out,20.738968749996275,20.00596962502459,,,,
331541,quadrature-40,executed,0.07327595900278538,,4.217959564586636,0.024475266729182654,0.6666666666666666,1.0
331541,laplace,executed,0.02944308298174292,,7.450719148098393,0.031015186399959482,0.6666666666666666,1.0
331541,ep,timed-out,20.926300833991263,20.005731875018682,,,,
331542,quadrature-40,executed,0.07211241702316329,,4.2179595645866215,0.0009071818248452407,1.0,1.0
331542,laplace,executed,0.028318666969425976,,7.4507191480984005,0.037056133565134,1.0,1.0
331542,ep,timed-out,20.920945291989483,20.005548875022214,,,,
331543,quadrature-40,executed,0.07182895799633116,,3.6266393097304572,0.021783950630541657,1.0,1.0
331543,laplace,executed,0.02833537495462224,,5.230392489959122,0.03213343146046212,1.0,1.0
331543,ep,timed-out,20.914810709015,20.005520540988073,,,,
331544,quadrature-40,executed,0.0716016250080429,,4.0273870389806135,0.02148678792007469,1.0,1.0
331544,laplace,executed,0.028907582978717983,,6.920496268683621,0.038524387197025334,1.0,1.0
331544,ep,timed-out,20.918959915987216,20.004800457973033,,,,
331545,quadrature-40,executed,0.07149050000589341,,4.0273870389806135,0.020059527618096318,1.0,1.0
331545,laplace,executed,0.028783500019926578,,6.920496268683621,0.040966799704479306,1.0,1.0
331545,ep,timed-out,20.925797624979168,20.005214790988248,,,,
331546,quadrature-40,executed,0.07360933400923386,,4.027387038980606,0.01836388157185012,0.6666666666666666,1.0
331546,laplace,executed,0.029211957997176796,,6.920496268683628,0.03465805292668803,0.6666666666666666,1.0
331546,ep,timed-out,20.73732029204257,20.006674374977592,,,,
331547,quadrature-40,executed,0.07009895902592689,,4.217959564586636,0.026998131612118836,1.0,0.5
331547,laplace,executed,0.02802358299959451,,7.450719148098393,0.03328357520490707,1.0,0.5
331547,ep,timed-out,20.924575791985262,20.00397212500684,,,,
331548,quadrature-40,executed,0.07285862497519702,,4.027387038980592,0.021486569525477978,1.0,1.0
331548,laplace,executed,0.027737083029933274,,6.920496268683628,0.03871597393411777,1.0,1.0
331548,ep,timed-out,20.816370084008668,20.005467290990055,,,,
331549,quadrature-40,executed,0.07126175001030788,,4.217959564586636,0.01613199031998444,0.6666666666666666,1.0
331549,laplace,executed,0.02925012505147606,,7.450719148098393,0.01581046354034627,0.6666666666666666,1.0
331549,ep,timed-out,20.909506666997913,20.006548125005793,,,,
331550,quadrature-40,executed,0.07390504103386775,,3.9167958983482976,0.017304015116853394,0.6666666666666666,1.0
331550,laplace,executed,0.02960904099745676,,6.389731763470046,0.03571327121193496,0.6666666666666666,1.0
331550,ep,timed-out,20.916720791021362,20.00648987502791,,,,
